company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
F R F LIMITED,04778282,Active,Private limited company,,,2003-05-28,,,68209,"4 Sovereign Way Ryde Isle Of Wight PO33 3DL "
THE PEOPLE'S VET LIMITED,14432612,Active,Private limited company,,,2022-10-20,,,75000,The Old Granary Sandy Lane Newport PO30 3EA England
FRAN OSMAN - NEWBURY LIMITED,04639729,Active,Private limited company,,,2003-01-17,,,68100 68209,"28 Kingfisher Close Newport Isle Of Wight PO30 5XS "
GREEN LANE (SANDOWN) MANAGEMENT LIMITED,05830397,Active,Private limited company,,,2006-05-26,,,68209,"142 Green Lane Sandown PO36 9NL "
LITTLESTAIRS DENTAL CENTRE LIMITED,06239728,Active,Private limited company,,,2007-05-08,,,86230,39 Littlestairs Road Shanklin PO37 6HS England
PARK GATE (EAST COWES) MANAGEMENT COMPANY LIMITED,03993139,Active,Private limited by guarantee without share capital,,,2000-05-15,,,98000,"8 Gunville Road Newport PO30 5LB "
WIGHT EVENT POWER LTD,14851398,Active,Private limited company,,,2023-05-07,,,77390,Unit 10 Somerton Industrial Estate Newport Road Cowes PO31 8PB England
ELYSIUM MELODIES LIMITED,15758055,Active,Private limited company,,,2024-06-03,,,59200,9 St John's Place Newport PO30 1LH United Kingdom
RYDE CHIROPRACTIC LIMITED,11298221,Active,Private limited company,,,2018-04-07,,,86900,"Arnold House 2 New Road Brading Sandown PO36 0DT "
MARVINS HOLDINGS LIMITED,12013352,Active,Private limited company,,,2019-05-23,,,68310,41a High Street Cowes PO31 7RS England
THE ACORNS (WOOTTON) LIMITED,05189491,Active,Private limited company,,,2004-07-26,,,98000,"66-66 Lugley Street Newport PO30 5EU "
VOKINS RISE (RYDE) MANAGEMENT COMPANY LIMITED,01702420,Active,Private limited company,,,1983-02-24,,,98000,30 Chatfield Lodge Newport PO30 1XR England
THE NATIONAL POO MUSEUM LTD,10202957,Active,Private limited by guarantee without share capital,,,2016-05-27,,,91020,The Bunker Culver Parade Brown’S Golf Course Sandown PO36 8QA England
ISLE OF WIGHT RAILWAY COMPANY LIMITED (THE),01068690,Active,Private limited by guarantee without share capital,,,1972-08-30,,,33170,"The Railway Station, Havenstreet Ryde Isle Of Wight PO33 4DS "
DRUNKEN LOBSTER LTD,12641810,Active,Private limited company,,,2020-06-03,,,56101,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
QUAY 2 QUAY LTD,14884575,Active,Private limited company,,,2023-05-22,,,50100,4 Wellington Square Heytesbury Road Yarmouth PO41 0LB United Kingdom
IWR TRADING LIMITED,02769446,Active,Private limited company,,,1992-12-01,,,47110 47789,"The Railway Station Havenstreet PO33 4DS "
WESTFIELD PARK MANAGEMENT COMPANY LIMITED,00795770,Active,Private limited company,,,1964-03-12,,,98000,The Estate Office Beatrice Avenue East Cowes PO32 6LW England
ISLE OF WIGHT VENUES LLP,OC417187,Active,Limited liability partnership,,,2017-05-03,,," ",Strings Bar And Venue 9 Bowling Green Lane Newport PO30 1RR United Kingdom
CHAIN FREE AGENCY LIMITED,14145946,Active,Private limited company,,,2022-06-01,,,68320,1 Langley Court Pyle Street Newport PO30 1LA England
WILTON ENGINEERING SOLUTIONS LIMITED,11982282,Active,Private limited company,,,2019-05-07,,,71129,Little Gables High Street Godshill Ventnor PO38 3HH United Kingdom
WIGHT AVIATION MUSEUM,10784045,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2017-05-23,,,91020,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
KEELRISE LIMITED,02228409,Active,Private limited company,,,1988-03-09,,,98000,30 Chatfield Lodge Newport PO30 1XR England
ANNEXURE LTD,13688827,Active,Private limited company,,,2021-10-19,,,68209,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
WHISTLE 1969 LIMITED,08785922,Active,Private limited company,,,2013-11-21,,,99999,"Whistle Grey Pyle Shute Chale Ventnor PO38 2LE "
PENNY LANE PARTNERSHIP LIMITED,09084990,Active,Private limited company,,,2014-06-13,,,41100,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
SEASURE SHIPBROKING LTD,05363598,Active,Private limited company,,,2005-02-14,,,74909,1 Cypress Court Cothey Way Ryde PO33 1QT England
JENNYCHEM LIMITED,04234450,Active,Private limited company,,,2001-06-14,,,20590 46750,Dolphin Boathouse Woodside Road Wootton Bridge Ryde PO33 4JR England
RLYC RACING LTD,14794338,Active,Private limited company,,,2023-04-12,,,93199,Rlyc The Parade Cowes PO31 7QS United Kingdom
OTTLEY PROPERTIES LIMITED,15539323,Active,Private limited company,,,2024-03-04,,,68100 68209 68320,5 Holyrood Street Newport PO30 5AU United Kingdom
FONE CORNER NEWPORT LTD,15545974,Active,Private limited company,,,2024-03-07,,,47410,50 High Street Newport PO30 1SB United Kingdom
DAVID AARON BISHOP LIMITED,15547923,Active,Private limited company,,,2024-03-08,,,28110,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
LT & LM LIMITED,15556024,Active,Private limited company,,,2024-03-12,,,68100,"Apartment 4, St Anthony's Crescent Beatrice Avenue Shanklin PO37 6EN United Kingdom"
EAST MEDINA LODGE NO. 175 LTD,14798960,Active,Private limited by guarantee without share capital,,,2023-04-13,,,94990,Ryde Masonic Hall John Street Ryde PO33 2PZ United Kingdom
WEST WIGHT DRILLING & PILING LIMITED,02860876,Active,Private limited company,,,1993-10-11,,,82990,"17 Edinburgh Road Freshwater PO40 9DL "
CONSTRUCTION PLANNING (IOW) LIMITED,10184989,Active,Private limited company,,,2016-05-17,,,71112,Waterfall Lodge Calbourne Lane Newbridge PO41 0TZ England
CARISBROOKE CLEVER CLOGGS DAY CARE LIMITED,05173380,Active,Private limited by guarantee without share capital,,,2004-07-07,,,85100,"Wellington Road Newport Isle Of Wight PO30 5QT "
NEWCLOSE COUNTY CRICKET GROUND LIMITED,05898059,Active,Private limited by guarantee without share capital,,,2006-08-07,,,93110,"Newclose County Cricket Ground Blackwater Road Newport PO30 3BE "
THE SATCHELL ORGANISATION LIMITED,03980304,Active,Private limited company,,,2000-04-26,,,68209,"The Old Rectory Main Road Mottistone Newport PO30 4ED "
MARINE COURT MANAGEMENT COMPANY (VENTNOR) LIMITED,02613378,Active,Private limited company,,,1991-05-22,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
NORTH WELLS MANAGEMENT COMPANY LIMITED,02157934,Active,Private limited company,,,1987-08-26,,,98000,"The Estate Office Beatrice Avenue East Cowes PO32 6LW "
SCHOLARLY SHORES HOLDINGS LIMITED,14855850,Active,Private limited company,,,2023-05-09,,,64209,143 Mill Hill Road Cowes PO31 7EJ England
AMBERLEY MANAGEMENT COMPANY LIMITED,02504545,Active,Private limited company,,,1990-05-22,,,98000,"The Estate Office Beatrice Avenue East Cowes PO32 6LW "
UPSTART HOMES LIMITED,11491787,Active,Private limited company,,,2018-07-31,,,41100 41202,1 Langley Court Pyle Street Newport PO30 1LA England
FLYING FISH UK LIMITED,03104247,Active,Private limited company,,,1995-09-20,,,85510,124 High Street High Street Cowes PO31 7AY England
TR19 GREASE VENTILATION CLEAN AND TECHNICIAN LTD,15444373,Active,Private limited company,,,2024-01-26,,,81222,Hong Kong Express Holyrood Street Newport PO30 5EP United Kingdom
GOLD CARPENTRY SERVICES LTD,15649750,Active,Private limited company,,,2024-04-15,,,41202,38 Oaklyn Gardens Shanklin PO37 7DG United Kingdom
NOMAD (IOW) LIMITED,15670883,Active,Private limited company,,,2024-04-23,,,68320 81210,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
PROPERTY CLAIM ASSIST (SOUTHERN) LIMITED,15675619,Active,Private limited company,,,2024-04-24,,,66290,Mackenzies Accountants 1 Langley Court Pyle Street Newport PO30 1LA England
CTRAC LTD,15682132,Active,Private limited company,,,2024-04-26,,,71121,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
BLANCHARD CHIROPRACTIC LIMITED,15686974,Active,Private limited company,,,2024-04-28,,,84120 86900,1 Michales Ave Ryde PO33 3DY England
RESIDENTS OF FRANCES HOUSE BEMBRIDGE LIMITED,01567816,Active,Private limited company,,,1981-06-12,,,98000,"8 Gunville Road Newport PO30 5LB "
TOP GEAR VEHICLE RENTALS LTD,06236778,Active,Private limited company,,,2007-05-03,,,77110,15 Marsh Close Sandown PO36 8EU England
JMC MINERALS LLP,OC427231,Active,Limited liability partnership,,,2019-05-07,,," ","Broadfields Farm Chapel Lane Merstone Newport PO30 3DA "
SANDOWN FLIGHT TRAINING LLP,OC375384,Active,Limited liability partnership,,,2012-05-18,,," ","11a Steephill Road Shanklin PO37 6AB "
HK HEATING AND PLUMBING LIMITED,09046046,Active,Private limited company,,,2014-05-19,,,43220,"16c Sandown Road Lake Sandown PO36 9JP "
ISLAND PEST CONTROL LIMITED,05431164,Active,Private limited company,,,2005-04-21,,,01700,"7a Nelson Crescent Binstead Ryde PO33 3QN "
RFP COWES (ISLE OF WIGHT) LTD,13301190,Active,Private limited company,,,2021-03-29,,,47240,19-20 Shooters Hill Cowes PO31 7BQ England
RAIL VEHICLE CONSULTANCY LTD,06998116,Active,Private limited company,,,2009-08-24,,,52219 71122,Arnold House 2 New Road Brading Sandown PO36 0DT England
JR ALPHA SERVICES LIMITED,10095736,Active,Private limited company,,,2016-03-31,,,77299,Holmleigh Colwell Road Totland PO39 0AH England
MK1 KITCHENS LIMITED,07601194,Active,Private limited company,,,2011-04-12,,,47599,"56 Manor Road Sandown PO36 9JA "
ISLE OF WIGHT KITCHENS & BEDROOMS LTD.,08659256,Active,Private limited company,,,2013-08-21,,,31020,"The Kitchen Workshop Long Lane Newport PO30 2NW "
BHR(2025) LIMITED,09555487,Active,Private limited company,,,2015-04-22,,,70229,Sea Mist Appley Lane Ryde PO33 1NX United Kingdom
BEMBRIDGE MARINE LIMITED,01177810,Active,Private limited company,,,1974-07-18,,,30120,"Embankment Road Bembridge Isle Of Wight PO35 5NS "
C. G. URRY BUILDING SERVICES LTD,15586164,Active,Private limited company,,,2024-03-23,,,41202 43390,Jasmine Lodge Westwood Dairy Newport PO30 5QJ United Kingdom
AERIAL INNOVATION LIMITED,15590874,Active,Private limited company,,,2024-03-24,,,26309 71129 74909,"Mackenzies Accountants, 1 Langley Court Pyle Street Newport PO30 1LA United Kingdom"
WICKS AT 26 LIMITED,15604144,Active,Private limited company,,,2024-03-29,,,55100,26 Broadway Sandown PO36 9BY United Kingdom
BRAIN PROPERTY SERVICES LIMITED,04773951,Active,Private limited company,,,2003-05-22,,,68100 68209,"13 Bridge Road Cowes PO31 7PB "
SEACOURT HOLIDAY LETTINGS LIMITED,00989065,Active,Private limited company,,,1970-09-10,,,68320 93290,Britannias Esplanade Ventnor PO38 1JX England
FINITE ELEPHANTS LIMITED,09042930,Active,Private limited company,,,2014-05-16,,,70229,"St Georges Oak Playstreet Lane Ryde Isle Of Wight PO33 3LQ "
O WYLD ENGINEERING LTD,09364062,Active,Private limited company,,,2014-12-22,,,30200,"88 Pallance Road Cowes PO31 8LP "
BY THE C MARINE LTD,13894494,Active,Private limited company,,,2022-02-04,,,33150,25 Horestone Rise Seaview PO34 5DB England
THE SALTERNS (IW) MANAGEMENT COMPANY LIMITED,15726458,Active,Private limited by guarantee without share capital,,,2024-05-17,,,98000,9 St John's Place Newport PO30 1LH United Kingdom
UPPER CHINE DEVELOPMENTS LIMITED,07699095,Active,Private limited company,,,2011-07-11,,,41100,29 William Fox Avenue Brighstone Newport PO30 4EN England
MAPLES (BONCHURCH) MANAGEMENT COMPANY LIMITED(THE),02119541,Active,Private limited company,,,1987-04-03,,,74990 98000,"Flat 6 The Maples Maples Drive Ventnor PO38 1NR "
CR SYSTEMS LIMITED,05790838,Active,Private limited company,,,2006-04-23,,,62012,Whitehouse Farm Whitehouse Road Porchfield Newport PO30 4LJ England
DCH TECHNOLOGY SERVICES LTD,08077178,Active,Private limited company,,,2012-05-21,,,62020,"66 Baring Road Cowes PO31 8DW "
A F S PROPERTIES LIMITED,04765406,Active,Private limited company,,,2003-05-15,,,68310,"Exchange House, St. Cross Lane Newport Isle Of Wight PO30 5BZ "
MIGA CHINESE LIMITED,14531921,Active,Private limited company,,,2022-12-09,,,56102,31 High Street Wootton Bridge Ryde PO33 4PF England
3D CHANGE MANAGEMENT LIMITED,12418868,Active,Private limited company,,,2020-01-22,,,62020,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
WOODSIDE COURT (ISLE OF WIGHT) LIMITED,05061912,Active,Private limited by guarantee without share capital,,,2004-03-03,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
BONCHURCH PROPERTY DEVELOPMENTS LIMITED,12577502,Active,Private limited company,,,2020-04-29,,,41202,Westfield Lodges & Apartments Shore Road Bonchurch Ventnor PO38 1RH United Kingdom
AW DEVELOPMENTS EXPORTS LTD,06905368,Active,Private limited company,,,2009-05-14,,,46520,"Unit 2 Chain Lane Newport PO30 5QA "
LUMIN E-CYCLE LTD,14830493,Active,Private limited company,,,2023-04-26,,,47640,205 Mill Hill Road Cowes PO31 7EN United Kingdom
BICESTER CHAMPIONSHIP SQUASH COURTS LIMITED,01613715,Active,Private limited company,,,1982-02-15,,,74990,"Arno House Park Avenue Ventnor PO38 1LE "
WIGHT PRINT (IOW) LTD,12604157,Active,Private limited company,,,2020-05-15,,,18129,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
TRICYCLE MEDIA LIMITED,11400121,Active,Private limited company,,,2018-06-06,,,99999,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
ADVANCED PERFORMANCE COATINGS LIMITED,09322446,Active,Private limited company,,,2014-11-21,,,25610,"Exchange House St. Cross Lane Newport PO30 5BZ "
EMBODIED WHOLE HEALTH LTD,14869416,Active,Private limited company,,,2023-05-15,,,85510 86900,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
THE BRAMBLES (APSE HEATH ISLE OF WIGHT) LIMITED,03981593,Active,Private limited by guarantee without share capital,,,2000-04-27,,,98000,"The Estate Office Church Mews Beatrice Avenue East Cowes PO32 6LW "
WINFORD WAY MANAGEMENT LIMITED,08308588,Active,Private limited company,,,2012-11-27,,,98000 99999,"Church Mews Beatrice Avenue East Cowes PO32 6LW "
FORTRESS UPVC LIMITED,10218813,Active,Private limited company,,,2016-06-07,,,43342,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
COWES YACHT AGENCY LIMITED,10335288,Active,Private limited company,,,2016-08-18,,,47640,Bowcombe House Bowcombe Road Newport PO30 3HZ United Kingdom
UKSA TRADING LIMITED,06276835,Active,Private limited company,,,2007-06-12,,,93290,"Uksa Arctic Road Cowes Isle Of Wight PO31 7PQ "
ISLE OF WIGHT EXPERIENCE LIMITED,03387934,Active,Private limited company,,,1997-06-17,,,79120,"Copper Beech Seagrove Drive Sandown PO36 9AB "
ISLAND MOBILITY LIMITED,00863266,Active,Private limited company,,,1965-11-04,,,47749,"32 Dodnor Lane Newport Isle Of Wight PO30 5XA "
NURSLING ESTATE MANAGEMENT LIMITED,02444026,Active,Private limited company,,,1989-11-17,,,68209,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
OPEX GROUNDWORKS AND CIVIL ENGINEERING LTD,12673517,Active,Private limited company,,,2020-06-16,,,43290,9 Admiral Way Cowes PO31 7FL England
THE COD FATHER LIMITED,04043854,Active,Private limited company,,,2000-07-31,,,56103,"Exchange House St. Cross Lane Newport PO30 5BZ "
CHARMETS LLP,OC347702,Active,Limited liability partnership,,,2009-08-05,,," ",85 Medina View East Cowes PO32 6SU England
CLARKE'S MECHANICAL LIMITED,02939373,Active,Private limited company,,,1994-06-15,,,42990,"9 St Johns Place Newport Isle Of Wight PO30 1LH "
DEL HOLDINGS LTD,12039062,Active,Private limited company,,,2019-06-07,,,68209,The Old Barn Canteen Road Whiteley Bank Ventnor PO38 3AF England
MIRAMARE ESTATES LIMITED,04439486,Active,Private limited company,,,2002-05-15,,,41100,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
RWR ASSOCIATES LIMITED,08563425,Active,Private limited company,,,2013-06-10,,,62012 62090,"Bellevue House Bellevue Road Ventnor PO38 1DB "
THEATRE REVIVA! CIC,13627155,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2021-09-16,,,90010 90030,"Vectis House, Vectis House, Pitts Lane Binstead, Ryde PO33 3SU United Kingdom"
WIGHT CLOUD LTD,10226372,Active,Private limited company,,,2016-06-10,,,63110,232 Newport Road Cowes PO31 8PE England
THE PAVILION RISE EASTHILL ROAD RESIDENTS ASSOCIATION LIMITED,03359310,Active,Private limited company,,,1997-04-24,,,98000,"7 Pavilion Rise East Hill Road Ryde PO33 1PA "
WHITEWIGHT LAUNDRY LTD,14875361,Active,Private limited company,,,2023-05-17,,,96010,Unit 9 Smt Technology Centre Prospect Road Cowes PO31 7AD United Kingdom
POWER DEVICE UK LIMITED,01316674,Active,Private limited company,,,1977-06-10,,,27900,Westridge Business Park Cothey Way Ryde PO33 1QT United Kingdom
NATALIE COSDER LIMITED,10523312,Active,Private limited company,,,2016-12-13,,,47710,129 High Street Ryde PO33 2RJ England
SANDOWN STORAGE LIMITED,12668252,Active,Private limited company,,,2020-06-13,,,52103,16c Sandown Road Lake PO36 9JP England
ELEVEN PARTLANDS AVENUE (RYDE I.O.W.) MANAGEMENT COMPANY LIMITED,02620207,Active,Private limited company,,,1991-06-13,,,98000 99999,"The Estate Office Church Mews Whippingham PO32 6LW "
CUSTOMER FIT LIMITED,15776963,Active,Private limited company,,,2024-06-13,,,70229,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
ROCA TECHNICAL SERVICES LIMITED,06445802,Active,Private limited company,,,2007-12-05,,,74100,"Arnold House 2 New Road Brading Sandown PO36 0DT "
BELLAMY'S (IOW) LIMITED,08213339,Active,Private limited company,,,2012-09-13,,,56290,Office 4 Baring Chambers Denmark Road Cowes PO31 7SY England
GASSIOT PLACE MANAGEMENT COMPANY LIMITED,13462214,Active,Private limited by guarantee without share capital,,,2021-06-17,,,98000,2 Gassiot Place Ryde PO33 1DN England
GEORGINA GROSE LIMITED,09072257,Active,Private limited company,,,2014-06-05,,,31090,"Kern Farm Alverstone Sandown PO36 0EY "
RETHINK REFRESH LTD,15077835,Active,Private limited company,,,2023-08-17,,,85600,"Office 4, Baring Chambers Denmark Road Cowes PO31 7SY England"
PAUL GALLOP PLUMBING & HEATING LTD,13959085,Active,Private limited company,,,2022-03-07,,,43220,Poplar Cottage Buckbury Lane Newport PO30 2NJ United Kingdom
A.M. FAITHFULL & SONS LIMITED,04427922,Active,Private limited company,,,2002-04-30,,,68209,"Fourwinds 132 Howgate Road Bembridge PO35 5QZ "
ARTHUR ELLIS PROPERTIES LIMITED,00763333,Active,Private limited company,,,1963-06-06,,,99999,Miramar Old Seaview Lane Seaview PO34 5BG England
THE WIGHT TRUSTEE COMPANY LIMITED,05230073,Active,Private limited company,,,2004-09-14,,,82990,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
COMICOFFEE UK LIMITED,13419547,Active,Private limited company,,,2021-05-25,,,56102,59 Pyle Street Newport PO30 1UL England
YANUKA LTD,12576723,Active,Private limited company,,,2020-04-28,,,66210,15 Hatherton Road Shanklin PO37 7NA United Kingdom
LAVENDER'S HOLDINGS LIMITED,11013978,Active,Private limited company,,,2017-10-16,,,64209,Worsleys High Street Godshill Ventnor PO38 3HH England
IRRATIONAL THEATRE LIMITED,05337253,Active,Private limited company,,,2005-01-19,,,90010 90030,Flat 5 44george Street Ryde PO33 2EN England
LUKELY GROUP LIMITED,09644846,Active,Private limited company,,,2015-06-17,,,64209,St Anthonys Convent Beatrice Avenue Shanklin PO37 6EN England
